title,address,type,educational,workExperience,workTag,salary,salaryMonth,companyTags,hrWork,hrName,pratice,companyTitle,companyAvatar,companyNature,companyStatus,companyPeople,detailUrl,companyUrl,dist
QT工程师,西安,c,大专,经验不限,"[""Socket\u6280\u672f"", ""\u7f51\u7edc\u534f\u8bae"", ""\u591a\u8fdb\u7a0b"", ""\u591a\u7ebf\u7a0b"", ""Windows"", ""Linux"", """", """"]","[12000, 24000]",0薪,"[""\u4e94\u9669\u4e00\u91d1\uff0c\u4f4f\u623f\u8865\u8d34\uff0c\u80a1\u7968\u671f\u6743\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u5e74\u7ec8\u5956\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669""]",HR,惠先生HR,0,汇智信科,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20200816/4924c83205aa9ac48dad2b6f1c47368a0c7f0bfa86440cc09ede35b3c39c5bbc_s.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[100, 499]",https://www.zhipin.com/job_detail/4e799b4f0697f4981XZ92N-6GVNV.html?lid=1yBJn2ppsiZ.search.1&securityId=9hKiW6oNf1nwd-W1iAQ6pGC3TAjd2ko89J-6C5-scoz-ojFHraVN1QIGWll3epu2ioi3nQUkYzlNnQw3BEZPL1KlrUlymhTIOXBxCfNNBa-Pm-6onA~~&sessionId=,https://www.zhipin.com/gongsi/a63c3edcff82295d1X1z3966FA~~.html,雁塔区
C/c++高级开发,深圳,c,学历不限,3-5年,"[""C++"", ""C\u8bed\u8a00""]","[15000, 16000]",0薪,无,总经理,张先生总经理,0,奥尔特云,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/83a2cff8f061bb471XJz39q4F1BV.html?lid=1yBJn2ppsiZ.search.2&securityId=KgBLVHxKC4gSR-Z1OU-36Kmt1XKiV7vZ200UZWoRkhHmYvbS0j85r5mhIv174hVyz9Kg6p57uWTHw1FUh9cV4N9VJ-llBCyhFhUzQTxH7wGVSzh6XPah&sessionId=,https://www.zhipin.com/gongsi/36b6720bfe0841321nB_3tu6EFo~.html,罗湖区
机器学习系统工程师,北京,c,本科,3-5年,"[""C++"", ""\u5206\u5e03\u5f0f\u7ecf\u9a8c"", ""\u67b6\u6784\u8bbe\u8ba1\u7ecf\u9a8c""]","[30000, 60000]",15薪,"[""\u7ee9\u6548\u5956\u91d1\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u514d\u8d39\u5de5\u88c5\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669\uff0c\u9910\u8865\uff0c\u4fdd\u5e95\u5de5\u8d44\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u8282\u65e5\u798f\u5229\uff0c\u610f\u5916\u9669\uff0c\u5e74\u7ec8\u5956\uff0c\u8282\u5047\u65e5\u52a0\u73ed\u8d39\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u5e95\u85aa\u52a0\u63d0\u6210\uff0c\u56e2\u5efa\u805a\u9910\uff0c\u6cd5\u5b9a\u8282\u5047\u65e5\u4e09\u85aa\uff0c\u591c\u73ed\u8865\u52a9\uff0c\u4f01\u4e1a\u5e74\u91d1""]",技术专家,于先生技术专家,0,美团,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20241216/7bf6f160950405e90f38d503435096ced7d1615b756b5c9b8d497a15e1c9db7ac5c0de21f7814847.png.webp?x-oss-process=image/resize,w_100,limit_0",互联网,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/2d39f0f6d9aceea01HV72t66F1FT.html?lid=1yBJn2ppsiZ.search.3&securityId=E2dokF1e0pngD-T1EqLR4hNOeINmPvyCUykXvH9usV723StjdaF1zvM9oXpJpyRi8QWhAa382reT4zWCA9Mi5uMVmf6il7YsJfMqlGLYoStqBij7uLY~&sessionId=,https://www.zhipin.com/gongsi/b633a34f787d94f21nZ_0929E1I~.html,朝阳区
后台开发工程师-Athena项目组,深圳,c,本科,3-5年,"[""C++"", ""Golang"", ""Linux\u5f00\u53d1/\u90e8\u7f72\u7ecf\u9a8c"", ""\u6e38\u620f\u540e\u7aef\u7ecf\u9a8c""]","[15000, 20000]",14薪,"[""\u5e74\u7ec8\u5956\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669\uff0c\u4e94\u9669\u4e00\u91d1""]",HR,宋女士HR,0,深圳腾娱互动科技,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20240520/7bf6f160950405e97f7ab9e2017fdab3ecebb8be658da0f106aece22fdfc13b6dcdf7a073c974778.png.webp?x-oss-process=image/resize,w_100,limit_0",游戏,不需要融资,"[1000, 9999]",https://www.zhipin.com/job_detail/1aea8865591bf9551Hx73927F1BV.html?lid=1yBJn2ppsiZ.search.4&securityId=CZLg8oE8rc2B6-11MWb5HjAQzQqHYV2nQcA8AbNufKktJZ8lEL5l_G4kqufcbq3aTKFTQRzNNCxX77j-9X1KvVnqOMuArvdFpWg_RnJhHQGyZ78Eh_8~&sessionId=,https://www.zhipin.com/gongsi/bd138fed1d5856d11XR82NW1GVo~.html,南山区
ros开发工程师,合肥,c,本科,1-3年,"[""C++"", ""Linux\u5f00\u53d1/\u90e8\u7f72\u7ecf\u9a8c""]","[13000, 23000]",13薪,"[""\u4ea4\u901a\u8865\u52a9\uff0c\u5e74\u7ec8\u5956\uff0c\u751f\u65e5\u798f\u5229\uff0c\u8282\u65e5\u798f\u5229\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u80a1\u7968\u671f\u6743\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u6709\u65e0\u7ebf\u7f51\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u610f\u5916\u9669\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u9910\u8865\uff0c\u7ee9\u6548\u5956\u91d1\uff0c\u56e2\u5efa\u805a\u9910\uff0c\u514d\u8d39\u5065\u8eab""]",人事专员,程女士人事专员,0,中科星驰,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20230130/7bf6f160950405e93d4b2dd1e7b9510974b796b27a27e51ab2a45ab398f7a4d2b23c9dbc06626850.jpg?x-oss-process=image/resize,w_100,limit_0",计算机服务,A轮,"[100, 499]",https://www.zhipin.com/job_detail/b176fece9b06d3311HF7392-FVFV.html?lid=1yBJn2ppsiZ.search.5&securityId=7osjq0c6l8Uog-O1sUsbqEh7sLe1ZjlT53rWUFqIKLRr7Nx8BjC1ADIgJuBSBbGSi1sD3eU7bEUxd80730u_boMkMQjuo_HMcBqmLcVFSF45TD8Ag-wzWRuMpJBVnGdMOQeAO5MnaAqc8aDLBG6kjlRZ&sessionId=,https://www.zhipin.com/gongsi/bbacaaef98018adf1XV909i_FFQ~.html,蜀山区
C＋＋软件工程师,东莞,c,本科,1-3年,"[""C++"", ""Python"", ""MFC"", ""\u67b6\u6784\u8bbe\u8ba1\u7ecf\u9a8c"", ""Socket\u6280\u672f""]","[20000, 40000]",0薪,"[""\u4ea4\u901a\u8865\u52a9\uff0c\u514d\u8d39\u73ed\u8f66\uff0c\u4f4f\u623f\u8865\u8d34\uff0c\u5305\u5403\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5168\u52e4\u5956\uff0c\u80a1\u7968\u671f\u6743\uff0c\u9910\u8865\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u5e74\u7ec8\u5956\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669""]",CEO执行助理,黄先生CEO执行助理,0,标王设备有限公司,"https://img.bosszhipin.com/beijin/upload/com/logo/20210311/360a8af7d0f147ee5dbc29bec065dbee680bedbcbcb385cf921f1f1c16cb08f7.png?x-oss-process=image/resize,w_100,limit_0",专用设备,B轮,"[100, 499]",https://www.zhipin.com/job_detail/ec6003c0c605202d1XR439m4FVFU.html?lid=1yBJn2ppsiZ.search.6&securityId=gY8XpJ0RHkKPj-x1f6GzWMkaOYpeozZyWEwOsMWJmCjLMn-KWjOO9D3dBsbxZ0B-v014XN_jxntQ7nhZTSiVnRxMeB4cmT0VGeMyhNNhYZqTUNEH8OFd&sessionId=,https://www.zhipin.com/gongsi/2909fe0279bbf0d01nd839-0FFQ~.html,
C++开发工程师,深圳,c,学历不限,1-3年,"[""WebGL"", ""\u56fe\u5f62\u5f15\u64ce"", ""C++"", ""IM\u5f15\u64ce"", ""OpenGL""]","[15000, 20000]",0薪,"[""\u5458\u5de5\u65c5\u6e38\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u80a1\u7968\u671f\u6743\uff0c\u5e74\u4f1a\uff0c\u7ee9\u6548\u5956\u91d1\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5e74\u7ec8\u5956\uff0c\u85aa\u8d44\u666e\u8c03\uff0c\u56e2\u5efa\u805a\u9910\uff0c\u56e2\u5efa""]",人事行政经理,钟先生人事行政经理,0,安比科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20201210/8ee18572de7f2652f2a429601c27013df228eee73a7d08f0daae1c94139a5f41_s.jpg?x-oss-process=image/resize,w_100,limit_0",建筑设计,未融资,"[20, 99]",https://www.zhipin.com/job_detail/912e752da4c3eff71HJ529-5EVFV.html?lid=1yBJn2ppsiZ.search.7&securityId=TWmwbICgEleOX-l1GBBZ6OYqiFzJhXEYtUa5c6840CcSYFcBbIXTM4lRfvAlisn32WI21h8R-vlWHzJHg3s3rIKic3Nd86Obl82hWdm6SwcgPQ8Wcw~~&sessionId=,https://www.zhipin.com/gongsi/8acae132cdcaa3c30n153tS6Ew~~.html,宝安区
c++应用层软件工程师,珠海,c,本科,3-5年,"[""C"", ""C++""]","[12000, 24000]",14薪,"[""\u4e94\u9669\u4e00\u91d1\uff0c\u5e74\u7ec8\u5956\uff0c\u80a1\u7968\u671f\u6743""]",招聘负责人,王女士招聘负责人,0,福昆航空,"https://img.bosszhipin.com/beijin/upload/com/logo/20210708/3e18aa6e54c11eb74b54971e4b4f34ddb6afe6f5670691804d947287021b60bf.png?x-oss-process=image/resize,w_100,limit_0",铁路/船舶/航空/航天制造,A轮,"[20, 99]",https://www.zhipin.com/job_detail/123339c6843242e01Hxy296_E1ZZ.html?lid=1yBJn2ppsiZ.search.8&securityId=v9GKVxTFefAZe-0195C2qaFUanM70ttH_rjeH0bvaoA5Cz0SwjrjILX4AprdC-Z-UR6TUGtRfS1De1r4G7pVBIw-MUj4Y-Gkq02HeunsBpoEGkDSbw~~&sessionId=,https://www.zhipin.com/gongsi/3218991751c909501nx-3t25FQ~~.html,香洲区
C++校招（北京）,北京,c,硕士,经验不限,"[""C++"", ""C++\u670d\u52a1\u7aef\u5f00\u53d1\u7ecf\u9a8c"", ""Qt\u9879\u76ee\u5f00\u53d1\u7ecf\u9a8c"", """"]","[10000, 15000]",13薪,"[""\u9910\u8865\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5e74\u7ec8\u5956\uff0c\u5458\u5de5\u65c5\u6e38""]",招聘者,冯先生招聘者,0,易桥凯丰,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20200917/d075f376e132607fb7b1d4f8f93d1e1c8909ddbca8328f113566d2dc17a83072_s.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/73ca3ee636132dae1Xx93NS-FlJZ.html?lid=1yBJn2ppsiZ.search.9&securityId=wv_1AhL223uRZ-01OD1Z3Rcz5jfexXQSHV1xnHAu_amdCs4hdhS2kff3eX5kJ5L8cD6S5PjCsvo7kyaK65YuMbY_F9tanZkEs_PXrph796MeX8s_nVk~&sessionId=,https://www.zhipin.com/gongsi/fb014b08533365c81nJ60ty9GQ~~.html,
C++ Developer,上海,c,本科,经验不限,"[""C++"", ""\u91cf\u5316\u4ea4\u6613\u5f00\u53d1\u7ecf\u9a8c""]","[25000, 50000]",0薪,"[""\u5e74\u7ec8\u5956\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669\uff0c\u96f6\u98df\u4e0b\u5348\u8336""]",HR,王女士HR,0,邦戴数科,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20220816/7bf6f160950405e9d1039750d6b8406bedaa6fa69c8a25d9c173fd302de209b168d62188b387e38d.jpg?x-oss-process=image/resize,w_100,limit_0",投资/融资,未融资,"[20, 99]",https://www.zhipin.com/job_detail/bd803c80405b91e41HR_39m4F1NV.html?lid=1yBJn2ppsiZ.search.10&securityId=eO4x3S2V3UMJ_-S1f8yviC6yEO-0LuO1fuqV_In_A9EKNY8wUOlTlcoxtj69uSh_Nznc5-Nmv3eB3mKJwruNeQJN63C5y4QPub096fcOHEV1UL09xOFD&sessionId=,https://www.zhipin.com/gongsi/63aafb347381a5cb1XZ52t21Els~.html,静安区
软件开发工程师（C++）,北京,c,本科,3-5年,"[""C++"", ""STL"", ""Linux\u5f00\u53d1/\u90e8\u7f72\u7ecf\u9a8c""]","[15000, 23000]",0薪,"[""\u7ee9\u6548\u5956\u91d1\uff0c\u5e74\u7ec8\u5956\uff0c\u4e94\u9669\u4e00\u91d1""]",招聘经理,李先生招聘经理,0,众鑫伟业科技,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20241111/7bf6f160950405e9c7009d887a0500865a9d2493c7952d4f6c7f9b949d46bfd36ba7f39f41576d5b.png.webp?x-oss-process=image/resize,w_100,limit_0",互联网,不需要融资,"[100, 499]",https://www.zhipin.com/job_detail/0e6186d6bbc68c941HVy3N60E1JV.html?lid=1yBJn2ppsiZ.search.11&securityId=SjHxdVCEfLB2r-O1bcfzjHgvor27yEnpVtSfbbz--HOCT_7c4S25jLWG6Uzbf_3L6loomw_mGo4lOF_uk_p9xkaNXbJvsaJUJKbvij_5xDVTQNabEeJo&sessionId=,https://www.zhipin.com/gongsi/cd38472a9e97eb861HV73t68FlI~.html,昌平区
c++高级软件工程师,上海,c,本科,5-10年,"[""C++"", ""QT"", ""OpenGL"", ""OPENGL"", ""\u67b6\u6784\u8bbe\u8ba1\u7ecf\u9a8c"", """", """", """"]","[25000, 40000]",13薪,"[""\u8282\u65e5\u798f\u5229""]",HRBP,沈女士HRBP,0,磅客策,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20210711/d773586277454fa27ece36dec4b9af1218eef1902294195f19cb32366541adf3.jpg?x-oss-process=image/resize,w_100,limit_0",医疗健康,A轮,"[20, 99]",https://www.zhipin.com/job_detail/1f4bdb685ff588061X192960GFFS.html?lid=1yBJn2ppsiZ.search.12&securityId=V5w01yWvNDQGd-i1VA6m-dTklbQ6dsZg-PIGN4Trcrv4mMyAFZk4wV0oitMnw896e3SQuhHj9OnVwSttvIRd9BioI6w0tTf9K5BIFocbQJfmHGDmBcRp&sessionId=,https://www.zhipin.com/gongsi/7eddcc6cfd6b37371nd-2di4ElI~.html,松江区
Linux内核开发工程师,北京,c,硕士,3-5年,"[""C\u8bed\u8a00"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a"", ""\u5d4c\u5165\u5f0f\u5f00\u53d1\u7ecf\u9a8c"", ""C\u8bed\u8a00\u5f00\u53d1\u7ecf\u9a8c""]","[15000, 30000]",0薪,"[""\u5305\u5403\uff0c\u9910\u8865\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u5168\u52e4\u5956\uff0c\u56e2\u5efa\u805a\u9910\uff0c\u8282\u65e5\u798f\u5229\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u514d\u8d39\u73ed\u8f66\uff0c\u610f\u5916\u9669\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u5de5\u9f84\u5956\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u4f4f\u623f\u8865\u8d34\uff0c\u751f\u65e5\u798f\u5229\uff0c\u5e74\u7ec8\u5956\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669""]",招聘经理,唐先生招聘经理,0,龙芯中科,"https://img.bosszhipin.com/beijin/upload/com/logo/20210523/09c457508d31dceb94f4ec1b79b73e729b0116addb58db49217f72ccd278e7b1.png?x-oss-process=image/resize,w_100,limit_0",半导体/芯片,已上市,"[500, 999]",https://www.zhipin.com/job_detail/7477a53c9357475b1Xd83Ni9EFBU.html?lid=1yBJn2ppsiZ.search.13&securityId=yluR6sV5LrEr9-51V5opxjTd0WV6eMB6WvFH9EyG_lPXsalpZ4_Hz2eP4nJqZBGsuZAYlWqXui5eaYWt3Wz-BbN9WWoDvsqKhp_nsxCNmsrHa_kg2Q~~&sessionId=,https://www.zhipin.com/gongsi/80c18bef776376db1nd70961F1s~.html,海淀区
python/C++少儿编程老师+双休/+五险一金,广州,c,本科,在校/应届,"[""C++"", ""Python"", ""\u7ebf\u4e0b\u6559\u5b66"", ""\u5c11\u513f\u5174\u8da3\u73ed"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a""]","[15000, 20000]",0薪,"[""\u80a1\u7968\u671f\u6743\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u6709\u65e0\u7ebf\u7f51\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5e74\u7ec8\u5956\uff0c\u5e26\u85aa\u5e74\u5047""]",招聘经理,陆女士招聘经理,0,小码教育,"https://img.bosszhipin.com/beijin/mcs/bar/20191211/e95f8f849c6403022b1c784102b96e9cbe1bd4a3bd2a63f070bdbdada9aad826.jpg?x-oss-process=image/resize,w_100,limit_0",在线教育,C轮,"[1000, 9999]",https://www.zhipin.com/job_detail/8ffc95c8217f3a3f1HZ80tS_GVVT.html?lid=1yBJn2ppsiZ.search.14&securityId=IxoYqr3VbG5XK-a16g-64gCM9OJ7Qr_Mq-q2AyQWncQn4mevYM0czFGrKH9XtCJXcSzfPX6UdC0y3PVcS9BySheXqw_lILlFiCSU1hSQHQN2ya7PMA~~&sessionId=,https://www.zhipin.com/gongsi/f7f8ddf0deaa72f403Vy3du-.html,海珠区
QT/C++工程师,保定,c,本科,经验不限,"[""C++\u670d\u52a1\u7aef\u5f00\u53d1\u7ecf\u9a8c"", ""Qt\u9879\u76ee\u5f00\u53d1\u7ecf\u9a8c"", ""C++""]","[6000, 10000]",13薪,"[""\u52a0\u73ed\u8865\u52a9\uff0c\u5e74\u7ec8\u5956\uff0c\u7ee9\u6548\u5956\u91d1\uff0c\u6cd5\u5b9a\u8282\u5047\u65e5\u4e09\u85aa\uff0c\u5305\u5403\uff0c\u610f\u5916\u9669\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5e26\u85aa\u5e74\u5047""]",经理,张先生经理,0,保定太维,"https://c-res.zhipin.com/jrs/6_ab52dd7c42f1702877911cb1ba287355.jpg?x-oss-process=image/resize,w_100,limit_0",计算机服务,未融资,"[20, 99]",https://www.zhipin.com/job_detail/6dd781dc4b59a4261XJ63Nq7FVtW.html?lid=1yBJn2ppsiZ.search.15&securityId=LGBHvK-8Hdk19-l1QR_2rpweK6g6H-fjMPS6aYIRwWrOIhk9EFcEVMYoEwo-scc0z11cpRlF6xzJnYEiTiLsPAGDhkVoY5fiQjs1GUDZmiMeA8cduBFO&sessionId=,https://www.zhipin.com/gongsi/a7a6ea876f55d6ec1XB53Nm6EVQ~.html,竞秀区
C/C++,上海,c,本科,经验不限,"[""C++"", ""C"", ""Java"", ""Python""]","[13000, 24000]",14薪,"[""\u4e94\u9669\u4e00\u91d1\uff0c\u7ee9\u6548\u5956\u91d1\uff0c\u610f\u5916\u9669\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669\uff0c\u8282\u5047\u65e5\u52a0\u73ed\u8d39\uff0c\u591c\u73ed\u8865\u52a9\uff0c\u9910\u8865\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u6cd5\u5b9a\u8282\u5047\u65e5\u4e09\u85aa\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u80a1\u7968\u671f\u6743\uff0c\u514d\u8d39\u73ed\u8f66\uff0c\u8282\u65e5\u798f\u5229\uff0c\u751f\u65e5\u798f\u5229\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u4fdd\u5e95\u5de5\u8d44\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u5e74\u7ec8\u5956""]",hr,王先生hr,0,华为,"https://img.bosszhipin.com/beijin/upload/com/logo/20200429/8f64c9d0b30a53c434b26799ca78966cec9b49ecaf1604cb263748f03d5c2b0f.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/e27c18578f02b9571H1809-6GFJS.html?lid=1yBJn2ppsiZ.search.16&securityId=1iVNrC3LWnPP2-W1fl1mbWSzeVDOqDWsiCQtC_tZ5r3F3VpMiV-pWzHANiEMT-x49qUcdB4qgHDrixgnJV3H0TEer9ee1H3XZ3OV1bLzWST7VWE~&sessionId=,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html,浦东新区
易语言开发工程师,赣州,c,学历不限,1-3年,"[""MySQL"", ""C\u8bed\u8a00\u5f00\u53d1\u7ecf\u9a8c"", ""\u5d4c\u5165\u5f0f\u5f00\u53d1\u7ecf\u9a8c""]","[6000, 10000]",0薪,"[""\u52a0\u73ed\u8865\u52a9\uff0c\u5168\u52e4\u5956\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u5e74\u7ec8\u5956\uff0c\u9910\u8865\uff0c\u80a1\u7968\u671f\u6743""]",经理,闫先生经理,0,百世诚科技,"https://img.bosszhipin.com/beijin/upload/com/logo/20241027/7b5b554d84f9729c8d7722333da579b906ab5f5d5a4d81c9d863e7ab9a2deea5d7c258342dc07bd2.png.webp?x-oss-process=image/resize,w_100,limit_0",游戏,未融资,"[20, 99]",https://www.zhipin.com/job_detail/72c5e48c61ef09991XJ92dm8EFBX.html?lid=1yBJn2ppsiZ.search.17&securityId=jSdWmAUGc8aqx-T1SqCEd-hPxzYdVKQAE_CzHEb-9O51WsuulpgnH-E6ZKUNqaFPbm_U8kViXkfyzYaG7-wQORSpJnYV1TA58gyoJ-RN9XeQKRcmf7w~&sessionId=,https://www.zhipin.com/gongsi/dee017cf18f4847333V63NS5EQ~~.html,章贡区
高级c++工程师,深圳,c,本科,5-10年,"[""C++"", ""QT"", ""OpenGL"", ""\u684c\u9762\u5f00\u53d1\u7ecf\u9a8c"", ""\u67b6\u6784\u8bbe\u8ba1\u7ecf\u9a8c"", """", """"]","[30000, 45000]",0薪,"[""\u56e2\u5efa\u805a\u9910\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u9910\u8865\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u5e74\u7ec8\u5956\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u4e94\u9669\u4e00\u91d1""]",HRBP,罗女士HRBP,0,创必得,"https://img.bosszhipin.com/beijin/upload/com/logo/20210502/039f4a3d4f786bf184a62c81b6df6a347eefdd174f02c275c48de3012f703bbd.jpg?x-oss-process=image/resize,w_100,limit_0",智能硬件,未融资,"[100, 499]",https://www.zhipin.com/job_detail/276e7218c15b6daf1HVz3tu1FVtW.html?lid=1yBJn2ppsiZ.search.18&securityId=XQcNir1yrTPeQ-A1hnLvSMcExf48Bt2s3Q7HqRjVE1felvUXNhq3k4fL2g48NIHGh4SnknqaiHLH8l1DQW5gqMntu41XyyRvcwb4idlB2Ckvx4t2ow~~&sessionId=,https://www.zhipin.com/gongsi/1f54e50c64ace22133d60tq7EQ~~.html,宝安区
C++开发工程师,天津,c,大专,1-3年,"[""\u591a\u7ebf\u7a0b"", ""\u7f51\u7edc\u534f\u8bae"", ""Socket\u6280\u672f"", ""Linux"", ""Windows""]","[8000, 13000]",0薪,"[""\u5b9a\u671f\u4f53\u68c0\uff0c\u80a1\u7968\u671f\u6743\uff0c\u4f4f\u623f\u8865\u8d34\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u5e74\u7ec8\u5956\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u4e94\u9669\u4e00\u91d1""]",人事,沈女士人事,0,谷德科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20200304/8cdc8a871c2caa9d30281479476bfe74ddfab8e5f71899ab8cc15174dbc07614_s.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,未融资,"[20, 99]",https://www.zhipin.com/job_detail/08c0a7e4a89ea0e81nZ-2tq4GVdY.html?lid=1yBJn2ppsiZ.search.19&securityId=clDKc9BL-xBTi-n1N-JhxpuIDHYDSYdjD6M8-5bqdxsM0huIjEIEoTTOnYl7IxGk7ZgU1-EuPsOutOfB9FuWbLqONUezyrhTdkEs-st3OU9OHoc~&sessionId=,https://www.zhipin.com/gongsi/60d171009781e9fe33x83d4~.html,西青区
中高级C++开发工程师,武汉,c,大专,5-10年,"[""C++"", ""C"", ""\u5206\u5e03\u5f0f\u7ecf\u9a8c"", ""MySQL"", ""Redis"", ""Linux\u5f00\u53d1/\u90e8\u7f72\u7ecf\u9a8c""]","[18000, 22000]",14薪,无,技术leader,余先生技术leader,0,元码科技,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",互联网,未融资,"[0, 20]",https://www.zhipin.com/job_detail/dc59209723d13ae51Hx82tS9EFdS.html?lid=1yBJn2ppsiZ.search.20&securityId=BE0F5r6Cji5r4-e1zC885FitDMhWAOHaCbESgmaUJo9sI5iSr8VLbY1w11Otk3ooJ7MgJqUr3TBRIti01A31paMsBqTEtmgIspTACnbvZdoyMrKdXXTS&sessionId=,https://www.zhipin.com/gongsi/57272537819697361HN-2Nu9GVM~.html,洪山区
